,ID tienda ,Nombre Tienda,Formato Tienda,Municipio,Estado,Calle y Número,Colonia,CP,Coordenadas,Latitud,Longitud
1,2,SAN ISIDRO,HÍPER,SALTILLO,COAHUILA DE ZARAGOZA,B. VENUSTIANO CARRANZA 4826,DOCTORES,25250.0,"25.4662,-100.9787",25.4662,-100.9787
3,4,ORIENTE,HÍPER,TORREÓN,COAHUILA DE ZARAGOZA,BLVD. TORREON-MATAMOROS 5000,FRACC. LA MERCED,27270.0,"25.5338,-103.3947",25.5338,-103.3947
5,6,TECNOLOGICO,HÍPER,CHIHUAHUA,CHIHUAHUA,AV. TECNOLOGICO 6902,FRACC.  SANTA BARBARA,31150.0,"28.6788,-106.1028",28.6788,-106.1028
10,11,FRANCISCO COSS,HÍPER,SALTILLO,COAHUILA DE ZARAGOZA,BLVD. FRANCISCO COSS SN,CENTRO,25000.0,"25.4358,-101.0031",25.4358,-101.0031
12,13,MONCLOVA,HÍPER,MONCLOVA,COAHUILA DE ZARAGOZA,HUEMAC SN,ANAHUAC,25750.0,"26.9001,-101.4396",26.9001,-101.4396
14,15,LOPEZ MATEOS,HÍPER,JUÁREZ,CHIHUAHUA,PERIM. CARLOS AMAYA 2125,PARTIDO IGLESIAS,32380.0,"31.7123,-106.4537",31.7123,-106.4537
16,17,MATAMOROS,HÍPER,MATAMOROS,TAMAULIPAS,AV. PEDRO CARDENAS GTZ 1900,VICTORIA,87390.0,"25.8512,-97.5037",25.8512,-97.5037
17,18,HIDALGO,HÍPER,REYNOSA,TAMAULIPAS,BLVD. HIDALGO KM 101 SN,FRACC. LAS FUENTES,88710.0,"26.0720,-98.3222",26.072,-98.3222
18,19,REFORMA,HÍPER,NUEVO LAREDO,TAMAULIPAS,BLVD. REFORMA SN,CAMPESTRE,88278.0,"27.4570,-99.5135",27.457,-99.5135
20,21,PIEDRAS NEGRAS,HÍPER,PIEDRAS NEGRAS,COAHUILA DE ZARAGOZA,CARRETERA 57 203,VENUSTIANO CARRANZA,26070.0,"28.6855,-100.5458",28.6855,-100.5458
24,25,INDEPENDENCIA,HÍPER,TORREÓN,COAHUILA DE ZARAGOZA,INDEPENDENCIA  OTE 1100,CENTRO,27000.0,"25.5562,-103.4365",25.5562,-103.4365
25,26,SAN LORENZO,HÍPER,JUÁREZ,CHIHUAHUA,P. TRIUNFO DE LA REP. 5298,SAN LORENZO,32320.0,"31.7358,-106.4270",31.7358,-106.427
28,29,HENEQUEN,HÍPER,JUÁREZ,CHIHUAHUA,AV. DE LAS TORRES 6975,LAS DUNAS,32650.0,"31.6492,-106.3906",31.6492,-106.3906
